	S_su	S_aa	S_fa	S_va	S_bu	S_pro	S_ac	S_h2	S_ch4	S_IC	S_IN	S_IP	S_I	X_ch	X_pr	X_li	X_su	X_aa	X_fa	X_c4	X_pro	X_ac	X_h2	X_I	X_PHA	X_PP	X_PAO	S_K	S_Mg	X_MeOH	X_MeP
hydrolysis_carbs	1									?	?	?		-1																	
hydrolysis_proteins		1								?	?	?			-1																
hydrolysis_lipids	1-f_fa_li		f_fa_li							?	?	?				-1															
uptake_sugars	-1				(1-Y_su)*f_bu_su	(1-Y_su)*f_pro_su	(1-Y_su)*f_ac_su	(1-Y_su)*f_h2_su		?	?	?					Y_su														
uptake_amino_acids		-1		(1-Y_aa)*f_va_aa	(1-Y_aa)*f_bu_aa	(1-Y_aa)*f_pro_aa	(1-Y_aa)*f_ac_aa	(1-Y_aa)*f_h2_aa		?	?	?						Y_aa													
uptake_LCFA			-1				(1-Y_fa)*f_ac_fa	(1-Y_fa)*f_h2_fa		?	?	?							Y_fa												
uptake_valerate				-1		(1-Y_c4)*f_pro_va	(1-Y_c4)*f_ac_va	(1-Y_c4)*f_h2_va		?	?	?								Y_c4											
uptake_butyrate					-1		(1-Y_c4)*f_ac_bu	(1-Y_c4)*f_h2_bu		?	?	?								Y_c4											
uptake_propionate						-1	(1-Y_pro)*f_ac_pro	(1-Y_pro)*f_h2_pro		?	?	?									Y_pro										
uptake_acetate							-1		1-Y_ac	?	?	?										Y_ac									
uptake_h2								-1	1-Y_h2	?	?	?											Y_h2								
decay_Xsu										?	?	?	f_sI_xb	f_ch_xb	f_pr_xb	f_li_xb	-1							f_xI_xb							
decay_Xaa										?	?	?	f_sI_xb	f_ch_xb	f_pr_xb	f_li_xb		-1						f_xI_xb							
decay_Xfa										?	?	?	f_sI_xb	f_ch_xb	f_pr_xb	f_li_xb			-1					f_xI_xb							
decay_Xc4										?	?	?	f_sI_xb	f_ch_xb	f_pr_xb	f_li_xb				-1				f_xI_xb							
decay_Xpro										?	?	?	f_sI_xb	f_ch_xb	f_pr_xb	f_li_xb					-1			f_xI_xb							
decay_Xac										?	?	?	f_sI_xb	f_ch_xb	f_pr_xb	f_li_xb						-1		f_xI_xb							
decay_Xh2										?	?	?	f_sI_xb	f_ch_xb	f_pr_xb	f_li_xb							-1	f_xI_xb							
storage_Sva_in_XPHA				-1						?	?	?													1	-Y_PO4		Y_PO4*K_XPP	Y_PO4*Mg_XPP		
storage_Sbu_in_XPHA					-1					?	?	?													1	-Y_PO4		Y_PO4*K_XPP	Y_PO4*Mg_XPP		
storage_Spro_in_XPHA						-1				?	?	?													1	-Y_PO4		Y_PO4*K_XPP	Y_PO4*Mg_XPP		
storage_Sac_in_XPHA							-1			?	?	?													1	-Y_PO4		Y_PO4*K_XPP	Y_PO4*Mg_XPP		
lysis_XPAO										?	?	?	f_sI_xb	f_ch_xb	f_pr_xb	f_li_xb								f_xI_xb			-1				
lysis_XPP										?	?	?														-1		K_XPP	Mg_XPP		
lysis_XPHA				f_va_PHA	f_bu_PHA	f_pro_PHA	f_ac_PHA			?	?	?													-1						
