	X_CHL	X_ALG	X_PG	X_TAG	S_CO2	S_A	S_G	S_O2	S_NH	S_NO	S_P	X_N_ALG	X_P_ALG
photoadaptation	1												
ammonium_uptake									-1			1	
phosphorus_uptake											-1		1
growth_pho		1			?			1				?	?
carbohydrate_storage_pho			1		?			1					
lipid_storage_pho				1	?			1					
carbohydrate_growth_pho		1	(-Y_CH_PHO/Y_X_ALG_PHO)		?			?				?	?
lipid_growth_pho		1		(-Y_LI_PHO/Y_X_ALG_PHO)	?			?				?	?
carbohydrate_maintenance_pho			-1		?			-1					
lipid_maintenance_pho				-1	?			-1					
endogenous_respiration_pho		-1			?			-1				?	?
growth_ace		1			?	(-1)/Y_X_ALG_HET_ACE		?				?	?
carbohydrate_storage_ace			1		?	(-1)/Y_CH_ND_HET_ACE		?					
lipid_storage_ace				1	?	(-1)/Y_LI_ND_HET_ACE		?					
carbohydrate_growth_ace		1	(-Y_CH_NR_HET_ACE/Y_X_ALG_HET_ACE)		?			?				?	?
lipid_growth_ace		1		(-Y_LI_NR_HET_ACE/Y_X_ALG_HET_ACE)	?			?				?	?
carbohydrate_maintenance_ace			-1		?			-1					
lipid_maintenance_ace				-1	?			-1					
endogenous_respiration_ace		-1			?			-1				?	?
growth_glu		1			?		(-1)/Y_X_ALG_HET_GLU	?				?	?
carbohydrate_storage_glu			1		?		(-1)/Y_CH_ND_HET_GLU	?					
lipid_storage_glu				1	?		(-1)/Y_LI_ND_HET_GLU	?					
carbohydrate_growth_glu		1	(-Y_CH_NR_HET_GLU/Y_X_ALG_HET_GLU)		?			?				?	?
lipid_growth_glu		1		(-Y_LI_NR_HET_GLU/Y_X_ALG_HET_GLU)	?			?				?	?
carbohydrate_maintenance_glu			-1		?			-1					
lipid_maintenance_glu				-1	?			-1					
endogenous_respiration_glu		-1			?			-1				?	?
